S	BETX	BETY	DX	DPX	ALFX	ALFY	MUX	MUY
-9.47	2.404800892	24.39500999	-0.000988911	3.53E-03	-1.746034622	-2.003830433	-0.269548683	-0.144811009
-9.46	2.439858437	24.4369812	-0.001031903	3.57E-03	-1.762998581	-2.004785299	-0.268882303	-0.144745503
-9.45	2.475262642	24.47841454	-0.001063293	3.59E-03	-1.779958248	-2.006035328	-0.26823142	-0.144680117
-9.44	2.511038303	24.51937103	-0.001083752	3.56E-03	-1.796925068	-2.007571459	-0.267594842	-0.144615029
-9.43	2.547156811	24.5598526	-0.001093916	3.51E-03	-1.813884974	-2.009381771	-0.266973523	-0.144549821
-9.42	2.58364439	24.59992599	-0.001094441	3.43E-03	-1.830848575	-2.011457443	-0.266364602	-0.144484912
-9.41	2.620471716	24.63959122	-0.001085976	3.32E-03	-1.847802043	-2.01378727	-0.26576951	-0.144420241
-9.4	2.657651424	24.67889214	-0.001069172	3.19E-03	-1.864750266	-2.01636076	-0.26518753	-0.144355629
-9.39	2.695195675	24.71788406	-0.001044668	3.03E-03	-1.881698489	-2.019169569	-0.264617948	-0.144291137
-9.38	2.733074904	24.75656509	-0.001013131	2.85E-03	-1.89863193	-2.022201061	-0.264060048	-0.144226883
-9.37	2.77131629	24.79499626	-0.000975187	2.65E-03	-1.915562034	-2.025447369	-0.263513593	-0.14416257
-9.36	2.809889317	24.83318329	-0.000931514	2.44E-03	-1.932474613	-2.028895617	-0.262978105	-0.144098614
